Tenant,Sale Location,,,,,,,,,,,,,,,,,,,Location Segment,Market,,,,,,,,,,,,,,,,,,,
GWMC,WCOT0103,,,,,,,,,,,,,,,,,,,WCOT0103,Ottawa,,,,,,,,,,,,,,,,,,,
GWMC,WCBA0101,,,,,,,,,,,,,,,,,,,WCBA0101,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,ABCAL_FREEDOMCS_CENTRE_ST,,,,,,,,,,,,,,,,,,,SACA015,Calgary,,,,,,,,,,,,,,,,,,,
GWMC,WCCA0114,,,,,,,,,,,,,,,,,,,WCCA0114,Calgary,,,,,,,,,,,,,,,,,,,
GWMC,WCWA0101,,,,,,,,,,,,,,,,,,,WCWA0101,Kitchener,,,,,,,,,,,,,,,,,,,
GWMC,WCED0106,,,,,,,,,,,,,,,,,,,WCED0106,Edmonton,,,,,,,,,,,,,,,,,,,
GWMC,WCOT0105,,,,,,,,,,,,,,,,,,,WCOT0105,Ottawa,,,,,,,,,,,,,,,,,,,
GWMC,WCTR0118,,,,,,,,,,,,,,,,,,,WCTR0118,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,Wap,,,,,,,,,,,,,,,,,,,WAP000,None,,,,,,,,,,,,,,,,,,,
GWMC,WCCA0113,,,,,,,,,,,,,,,,,,,WCCA0113,Calgary,,,,,,,,,,,,,,,,,,,
GWMC,WCSS0102,,,,,,,,,,,,,,,,,,,WCSS0102,St. Catharines,,,,,,,,,,,,,,,,,,,
GWMC,WCBU0101,,,,,,,,,,,,,,,,,,,WCBU0101,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WCVN0107,,,,,,,,,,,,,,,,,,,WCVN0107,Vancouver,,,,,,,,,,,,,,,,,,,
GWMC,BCMAP_MMSTRCS_LOUGHEED,,,,,,,,,,,,,,,,,,,SBMP001,Vancouver,,,,,,,,,,,,,,,,,,,
GWMC,WCBN0102,,,,,,,,,,,,,,,,,,,WCBN0102,Vancouver,,,,,,,,,,,,,,,,,,,
GWMC,BCABB_MMSTRCS_SUMAS_WAY,,,,,,,,,,,,,,,,,,,SBAB002,Vancouver,,,,,,,,,,,,,,,,,,,
