Promo Code,,,,,,,,,,,,,,,,,,,,Type,ActionType,Start Date,End Date,Months Until Benefit,BenefitDuration,Reusable/Stackable?,Short Name,UniqueCode?,MembershipId?,BenefitType,Rep EndDate,Promo Category,Invoice Message Code,Invoice Description,,,,Measurement,Max Redemption,Description
WSC 10$ Abv MRC 5 Mn PB,,,,,,,,,,,,,,,,,,,,Manual,N/A,27-08-2015 00:00:00,16-08-2025 00:00:00,0,5,No,WSC 10$ DISCOUNT FOR 5 MONTHS,Yes,No,Service,25-06-2025 00:00:00,Marketing,Thank You Promo,WSC 10$ Abv MRC 5 Mn PB Promo August 2015,,,,AMOUNT,10,WSC 10$ Abv MRC 5 Mn PB Promo August 2015
WSC 5$  Bel MRC 5 Months,,,,,,,,,,,,,,,,,,,,Manual,N/A,27-08-2015 00:00:00,16-08-2025 00:00:00,0,5,No,WSC 5$ DISCOUNT FOR 5 MONTHS,Yes,No,Service,25-06-2025 00:00:00,Marketing,Thank You Promo,WSC 5$  Bel MRC 5 Months Promo August 2015,,,,AMOUNT,5,WSC 5$  Bel MRC 5 Months Promo August 2015
Back To School - One Month Free 39,,,,,,,,,,,,,,,,,,,,Auto,PAP Setup,09-01-2015 00:00:00,15-09-2015 00:00:00,1,1,No,BACK TO SCHOOL - ONE MONTH FREE 39,No,No,Service,25-10-2015 00:00:00,Marketing,Rate Plan Discount Promo,Back To School - One Month Free 39 August 2015,,,,AMOUNT,39,Back To School - One Month Free 39 August 2015
Back To School - One Month Free 50,,,,,,,,,,,,,,,,,,,,Auto,PAP Setup,09-01-2015 00:00:00,15-09-2015 00:00:00,1,1,No,BACK TO SCHOOL - ONE MONTH FREE 50,No,No,Service,25-10-2015 00:00:00,Marketing,Rate Plan Discount Promo,Back To School - One Month Free 50 August 2015,,,,AMOUNT,50,Back To School - One Month Free 50 August 2015
EVENT 100,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),09-04-2015 00:00:00,06-11-2017 00:00:00,0,10,No,WIND EVENT 100,Yes,No,Service,12-02-2020 00:00:00,Marketing,Event Promo,$100 Service Credit in monthly increments of $10 for 10 months.,,,,AMOUNT,10,$100 Service Credit in monthly increments of $10 for 10 months.
EVENT 50,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),09-04-2015 00:00:00,06-11-2017 00:00:00,0,10,No,WIND EVENT 50,Yes,No,Service,12-02-2020 00:00:00,Marketing,Event Promo,$50 Service Credit in monthly increments of $5 for 10 months.,,,,AMOUNT,5,$50 Service Credit in monthly increments of $5 for 10 months.
POP-UP 100,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),09-04-2015 00:00:00,01-03-2019 23:59:59,0,10,No,WIND POP-UP 100,Yes,No,Service,01-03-2019 23:59:59,Marketing,Event Promo,$100 Service Credit in monthly increments of $10 for 10 months.,,,,AMOUNT,10,$100 Service Credit in monthly increments of $10 for 10 months.
POP-UP 50,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),09-04-2015 00:00:00,06-11-2017 00:00:00,0,10,No,WIND POP-UP 50,Yes,No,Service,12-02-2020 00:00:00,Marketing,Event Promo,$50 Service Credit in monthly increments of $5 for 10 months.,,,,AMOUNT,5,$50 Service Credit in monthly increments of $5 for 10 months.
Back to School BYOP Bonus PA,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),15-09-2015 00:00:00,10-01-2015 00:00:00,0,24,No,BACK TO SCHOOL BYOP BONUS PA,No,No,Service,16-11-2015 00:00:00,Marketing,Bring Your Own Device Promo,$12.50 per month off add-ons or pay-per-use for 24 months,,,,PERCENTAGE,12.5,$12.50 per month off add-ons or pay-per-use for 24 months
Back to School BYOP Bonus PB,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),15-09-2015 00:00:00,10-01-2015 00:00:00,0,24,No,BACK TO SCHOOL BYOP BONUS PB,No,No,Service,16-11-2015 00:00:00,Marketing,Bring Your Own Device Promo,$12.50 per month off add-ons or pay-per-use for 24 months,,,,AMOUNT,12.5,$12.50 per month off add-ons or pay-per-use for 24 months
Loyalty_Above_3_10_PA,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),19-10-2015 00:00:00,05-05-2017 00:00:00,0,3,No,LOYALTY_ABOVE_3_10_PA,No,No,Service,05-05-2017 00:00:00,Loyalty,Usage and Add-on Promo,$30 ($10 x 3 months),,,,PERCENTAGE,10,$30 ($10 x 3 months)
Loyalty_Above_3_10,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),19-10-2015 00:00:00,10-01-2025 00:00:00,0,3,No,LOYALTY_ABOVE_3_10_PB,No,No,Service,25-10-2025 00:00:00,Loyalty,Usage and Add-on Promo,Discount: $10/mo. for 3 months,,,,AMOUNT,10,$30 ($10 x 3 months)
Loyalty_Above_6_10_PA,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),19-10-2015 00:00:00,05-05-2017 00:00:00,0,6,No,LOYALTY_ABOVE_6_10_PA,No,No,Service,05-05-2017 00:00:00,Loyalty,Usage and Add-on Promo,$60 ($10 x 6 months),,,,PERCENTAGE,10,$60 ($10 x 6 months)
Loyalty_Above_6_10,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),19-10-2015 00:00:00,10-01-2025 00:00:00,0,6,No,LOYALTY_ABOVE_6_10_PB,No,No,Service,25-10-2025 00:00:00,Loyalty,Usage and Add-on Promo,Discount: $10/mo. for 6 months,,,,AMOUNT,10,$60 ($10 x 6 months)
Loyalty_Below_3_10,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),19-10-2015 00:00:00,10-01-2025 00:00:00,0,4,No,LOYALTY_BELOW_3_10,No,No,Service,25-10-2025 00:00:00,Loyalty,Rate Plan Discount Promo,Discount: $10/mo. for 3 months,,,,AMOUNT,10,$30 ($10 x 3 months)
PAP Campaign November 2015 PA,,,,,,,,,,,,,,,,,,,,Auto,N/A,26-10-2015 00:00:00,06-11-2017 00:00:00,0,999,No,PAP CAMPAIGN NOVEMBER 2015 PA,No,No,Service,25-11-2015 00:00:00,Marketing,PAP Promo,$5.00 per month off add-ons or pay-per-use forever,,,,PERCENTAGE,5,$5.00 per month off add-ons or pay-per-use forever
PAP Campaign November 2015 PB,,,,,,,,,,,,,,,,,,,,Auto,N/A,26-10-2015 00:00:00,06-11-2017 00:00:00,0,999,No,PAP CAMPAIGN NOVEMBER 2015 PB,No,No,Service,25-11-2015 00:00:00,Marketing,PAP Promo,$5.00 per month off add-ons or pay-per-use forever,,,,AMOUNT,5,$5.00 per month off add-ons or pay-per-use forever
Friendly VIP Promo,,,,,,,,,,,,,,,,,,,,Auto,New Line (New or Existing),22-10-2015 00:00:00,22-10-2025 00:00:00,0,999,No,FRIENDLY VIP PROMO,No,No,Service,25-10-2025 00:00:00,Marketing,Promotion,Friendly VIP Promo October 2015,,,,AMOUNT,1,Friendly VIP Promo October 2015
BYD 5 PA,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),16-11-2015 00:00:00,01-03-2017 00:00:00,0,15,No,BYD 5 PA,No,No,Service,15-02-2017 00:00:00,Marketing,Bring Your Own Device Promo,$5 per month off add-ons or pay-per-use for 15 months,,,,PERCENTAGE,5,$5 per month off add-ons or pay-per-use for 15 months
BYD 5 PB,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),16-11-2015 00:00:00,01-03-2017 00:00:00,0,15,No,BYD 5 PB,No,No,Service,15-02-2017 00:00:00,Marketing,Bring Your Own Device Promo,$5 per month off add-ons or pay-per-use for 15 months,,,,AMOUNT,5,$5 per month off add-ons or pay-per-use for 15 months
Loyalty_Extra_MyTab_50,,,,,,,,,,,,,,,,,,,,Manual,Hardware Upgrade,20-11-2015 00:00:00,31-08-2020 23:59:59,0,1,No,EXTRA_MYTAB_SAVINGS_50,No,No,Tab Subsidy,27-06-2019 23:59:59,Loyalty - My Tab,MyTab Bonus,Loyalty Save Offer - Extra $50 WINDtab,,,,NO DISCOUNT,50,Loyalty Save Offer - Extra $50 WINDtab
Loyalty_Extra_MyTab_100,,,,,,,,,,,,,,,,,,,,Manual,Hardware Upgrade,20-11-2015 00:00:00,31-08-2020 23:59:59,0,1,No,EXTRA_MYTAB_SAVINGS_100,No,No,Tab Subsidy,27-06-2019 23:59:59,Loyalty - My Tab,MyTab Bonus,Loyalty Save Offer - Extra $100 WINDtab,,,,NO DISCOUNT,100,Loyalty Save Offer - Extra $100 WINDtab
Loyalty_Extra_MyTab_150,,,,,,,,,,,,,,,,,,,,Manual,Hardware Upgrade,20-11-2015 00:00:00,31-08-2020 23:59:59,0,1,No,EXTRA_MYTAB_SAVINGS_150,No,No,Tab Subsidy,27-06-2019 23:59:59,Loyalty - My Tab,MyTab Bonus,Loyalty Save Offer - Extra $150 WINDtab,,,,NO DISCOUNT,150,Loyalty Save Offer - Extra $150 WINDtab
2015 Black Friday $50,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),27-11-2015 13:00:00,12-01-2015 02:00:00,1,10,No,2015 BLACK FRIDAY $50,No,No,Service,27-12-2015 00:00:00,Marketing,Rate Plan Discount Promo,$50 Service Credit in monthly increments of $5 for 10 months.,,,,AMOUNT,5,$50 Service Credit in monthly increments of $5 for 10 months.
2015 Black Friday $100,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),26-11-2015 16:00:00,27-11-2015 17:00:00,1,10,No,2015 BLACK FRIDAY $100,No,No,Service,27-12-2015 00:00:00,Marketing,Rate Plan Discount Promo,$100 Service Credit in monthly increments of $10 for 10 months.,,,,AMOUNT,10,$100 Service Credit in monthly increments of $10 for 10 months.
Loyalty_Below_3_5,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),30-11-2015 00:00:00,10-01-2025 00:00:00,0,4,No,LOYALTY_BELOW_3_5,No,No,Service,27-12-2025 00:00:00,Loyalty,Rate Plan Discount Promo,Discount: $5/mo. for 3 months,,,,AMOUNT,5,$15 ($5 x 3 months)
Loyalty_Below_6_5,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),30-11-2015 00:00:00,10-01-2025 00:00:00,0,7,No,LOYALTY_BELOW_6_5,No,No,Service,27-12-2025 00:00:00,Loyalty,Rate Plan Discount Promo,Discount: $5/mo. for 6 months,,,,AMOUNT,5,$30 ($5 x 6 months)
