Campaign Code,Charge Type,,,,,,,,,,,,,,,,,,,Discount %,Max CAP,Event Type,Event Subtype,Invoice Section,,,,,,,,,,,,,,,,
Friends and Family 35%,MRC,,,,,,,,,,,,,,,,,,,35,100,Promo,Promo MRC,20100,,,,,,,,,,,,,,,,
Friends of Freedom 25%,MRC,,,,,,,,,,,,,,,,,,,25,100,Promo,Promo MRC,20100,,,,,,,,,,,,,,,,
SHB-15% Off for 24 Months,MRC,,,,,,,,,,,,,,,,,,,15,100,Promo,Promo MRC,20100,,,,,,,,,,,,,,,,
15Percent Off x 24 Months,MRC,,,,,,,,,,,,,,,,,,,15,100,Promo,Promo MRC,20100,,,,,,,,,,,,,,,,
25Percent Off x 24 Months,MRC,,,,,,,,,,,,,,,,,,,25,100,Promo,Promo MRC,20100,,,,,,,,,,,,,,,,
FNF - 35% Off $60+ Plans,MRC,,,,,,,,,,,,,,,,,,,35,100,Promo,Promo MRC,20100,,,,,,,,,,,,,,,,
15GB Big Binge Bonus HWU,TAB,,,,,,,,,,,,,,,,,,,100,0,Promo,Unknown,0,,,,,,,,,,,,,,,,
30GB Big Binge Bonus HWU,TAB,,,,,,,,,,,,,,,,,,,100,0,Promo,Unknown,0,,,,,,,,,,,,,,,,
100GB Big Binge Bonus HWU,TAB,,,,,,,,,,,,,,,,,,,100,0,Promo,Unknown,0,,,,,,,,,,,,,,,,
20GB Big Binge Bonus HWU,TAB,,,,,,,,,,,,,,,,,,,100,0,Promo,Unknown,0,,,,,,,,,,,,,,,,
40GB Big Binge Bonus HWU,TAB,,,,,,,,,,,,,,,,,,,100,0,Promo,Unknown,0,,,,,,,,,,,,,,,,
50GB Big Binge Bonus HWU,TAB,,,,,,,,,,,,,,,,,,,100,0,Promo,Unknown,0,,,,,,,,,,,,,,,,
150GB Big Binge Bonus HWU,TAB,,,,,,,,,,,,,,,,,,,100,0,Promo,Unknown,0,,,,,,,,,,,,,,,,
200GB Big Binge Bonus HWU,TAB,,,,,,,,,,,,,,,,,,,100,0,Promo,Unknown,0,,,,,,,,,,,,,,,,
Loyalty 50% X 2 Mo -BYOP,MRC,,,,,,,,,,,,,,,,,,,50,999,Promo,Promo MRC,20100,,,,,,,,,,,,,,,,
Loyalty 50% X 6 Mo -Tab,MRC,,,,,,,,,,,,,,,,,,,50,999,Promo,Promo MRC,20100,,,,,,,,,,,,,,,,
Loyalty 100% X 2 Mo -BYOP,MRC,,,,,,,,,,,,,,,,,,,100,999,Promo,Promo MRC,20100,,,,,,,,,,,,,,,,
Loyalty 100% X 6 Mo -Tab,MRC,,,,,,,,,,,,,,,,,,,100,999,Promo,Promo MRC,20100,,,,,,,,,,,,,,,,
15% Off $60+ Plans x 6 Months,MRC,,,,,,,,,,,,,,,,,,,15,100,Promo,Promo MRC,20100,,,,,,,,,,,,,,,,
25% Off $60+ Plans x 6 Months,MRC,,,,,,,,,,,,,,,,,,,25,100,Promo,Promo MRC,20100,,,,,,,,,,,,,,,,
50% Off $60+ Plans x 6 Months,MRC,,,,,,,,,,,,,,,,,,,50,100,Promo,Promo MRC,20100,,,,,,,,,,,,,,,,
15T 15% off $60+ x 12mo,MRC,,,,,,,,,,,,,,,,,,,15,100,Promo,Promo MRC,20100,,,,,,,,,,,,,,,,
25T 25% off $60+ x 12mo,MRC,,,,,,,,,,,,,,,,,,,25,100,Promo,Promo MRC,20100,,,,,,,,,,,,,,,,
CBM 25% off $40+ x 12mo,MRC,,,,,,,,,,,,,,,,,,,25,100,Promo,Promo MRC,20100,,,,,,,,,,,,,,,,
Early Upgrade 100% MyTab Balance Waive,TAB,,,,,,,,,,,,,,,,,,,100,999,,Promo MyTab Charge,21100,,,,,,,,,,,,,,,,
$60 MyTab Bonus Savings,TAB,,,,,,,,,,,,,,,,,,,100,60,,Promo MyTab Charge,21100,,,,,,,,,,,,,,,,
