REFERENCE_CODE,ABBREVIATION,CODE_LABEL,VALID,DESCRIPTION,CHILD_REFERENCE_TYPE,CHILD_ATTRIBUTE_TYPE
226,BYOP 150 Postpaid,BYOD_150_PA,Y,[03/12/2015 TRahman] BYOP 150 Postpaid Promo 2015 : ($10 per month off add-ons or pay-per-use for 15 months),,
227,BYOP 150 Prepaid,BYOD_150_PB,Y,[03/12/2015 TRahman] BYOP 150 Prepaid Promo 2015 : ($10 per month off add-ons or pay-per-use for 15 months),,
228,Family Day Promo 2015,Family_Day_Promo_2015,Y,[03/04/2015 TRahman] Family Day Promo 2015,,
229,Upgrade $50 Credit,Upgrade_$50_Credit,Y,[04/06/2015 TRahman] Hardware Upgrade Promo June 2015 Credit Only : Upgrade promo eligible - $50 one time service credits,,
230,Upgrade $50 MyTab,Upgrade_$50_MyTab,Y,[04/06/2015 TRahman] Hardware Upgrade Promo June 2015 MyTab Only : Early upgrade eligible - $50 additional MyTab,,
231,10GB Bonus CAN + US + Mexico Data,10GB_BONUS_CAN_US_MEXICO_DATA,Y,[22/01/2024 MMizanur]: REQ2795710 : 10GB Bonus CAN + US + Mexico Data,,
1001,Smartphone 50 - 1 Month Free,Smartphone_50_1_Month_Free,Y,[04/22/2015 TRahman]: Smartphone 50 - 1 Month Free Promo April 2015,,
1002,Smartphone 50 Weekend Promo,Smartphone_50_Weekend_Promo,Y,[05/28/2015 TRahman]: Smartphone 50 Weekend Promo Promo May 2015,,
1003,$100 Port-in Promo for PA Smartphone Plans,$100_Port-in_Promo_ PA_Smartphone_Plans,Y,[06/16/2015 TRahman]: $100 Port-in Promo for PA Smartphone Plans Promo June 2015,,
1004,Premium data add-on Promo PA,Premium_data_addon_Promo_PA,Y,[08/04/2015 TRahman] Premium data add-on Promo PA Promo 2015 : ($10 off for 1 month above MRC)),,
1005,Premium data add-on Promo PB,Premium_data_addon_Promo_PB,Y,[08/04/2015 TRahman] Premium data add-on Promo PB Promo 2015 : ($10 off for 1 month above MRC)),,
1006,Back to School 100,Back_to_School_100,Y,[08/19/2015 TRahman]: Back to School 100 Promo August 2015,,
1007,Back to School 50,Back_to_School_50,Y,[08/19/2015 TRahman]: Back to School 50 Promo August 2015,,
1008,THX 10$ Abv MRC 6 Months,THX_10$_Discount_Above_MRC_for_6_Months,Y,[08/20/2015 TRahman]: THX 10$ Abv MRC 6 Months Promo August 2015,,
1009,THX 5$ Bel MRC 6 Months,THX_5$_Discount_Below_MRC_6_Months,Y,[08/20/2015 TRahman]: THX 5$ Bel MRC 6 Months Promo August 2015,,
1010,WSC 10$ Abv MRC 5 Mn PA,WSC_10$_Discount_Above_MRC_5_Months_PA,Y,[08/20/2015 TRahman]: WSC 10$ Abv MRC 5 Mn PA Promo August 2015,,
1011,WSC 10$ Abv MRC 5 Mn PB,WSC_10$_Discount_Above_MRC_5_Months_PB,Y,[08/20/2015 TRahman]: WSC 10$ Abv MRC 5 Mn PB Promo August 2015,,
1012,WSC 5$  Bel MRC 5 Months,WSC_5$_Discount_Below_MRC_5_Months,Y,[08/20/2015 TRahman]: WSC 5$  Bel MRC 5 Months Promo August 2015,,
1014,Back To School - One Month Free 39,Back_To_School_One_Month_Free_39,Y,[08/28/2015 TRahman]: Back To School - One Month Free 39 September 2015,,
1015,Back To School - One Month Free 50,Back_To_School_One_Month_Free_50,Y,[08/28/2015 TRahman]: Back To School - One Month Free 50 September 2015,,
1016,EVENT 100,EVENT_100,Y,[09/01/2015 TRahman]: EVENT 100 Promo September 2015,,
1017,EVENT 50,EVENT_50,Y,[09/01/2015 TRahman]: EVENT 50 Promo September 2015,,
1018,POP-UP 100,POP_UP_100,Y,[09/01/2015 TRahman]: POP-UP 100 Promo September 2015,,
1019,POP-UP 50,POP_UP_50,Y,[09/01/2015 TRahman]: POP-UP 50 Promo September 2015,,
1020,Back to School BYOP Bonus PA,Back_to_School_BYOP_Bonus_PA,Y,[09/10/2015 TRahman] Back to School BYOP Bonus PA Promo 2015 : ($12.5 per month off add-ons or pay-per-use for 24 months),,
1021,Back to School BYOP Bonus PB,Back_to_School_BYOP_Bonus_PB,Y,[09/10/2015 TRahman] Back to School BYOP Bonus PB Promo 2015 : ($12.5 per month off add-ons or pay-per-use for 24 months),,
1022,Loyalty_Above_3_10_PA,LoyaltyAbove310PA,Y,[10/15/2015 TRahman] Loyalty_Above_3_10_PA Promo 2015,,
1023,Loyalty_Above_3_10,LoyaltyAbove310PB,Y,[10/15/2015 TRahman] Loyalty_Above_3_10_PB Promo 2015,,
1024,Loyalty_Above_6_10_PA,LoyaltyAbove610PA,Y,[10/15/2015 TRahman] Loyalty_Above_6_10_PA Promo 2015,,
1025,Loyalty_Above_6_10,LoyaltyAbove610PB,Y,[10/15/2015 TRahman] Loyalty_Above_6_10_PB Promo 2015,,
1026,Loyalty_Below_3_10,LoyaltyBelow310,Y,[10/15/2015 TRahman] Loyalty_below_3_10 Promo 2015,,
1027,Friendly VIP Promo,Friendly_VIP_Promo,Y,[10/22/2015 TRahman]: Friendly VIP Promo October 2015,,
1028,PAP Campaign November 2015 PB,PAP_Campaign_November_2015PB,Y,[10/27/2015 TRahman] PAP Campaign November 2015 PB Promo 2015,,
1029,PAP Campaign November 2015 PA,PAP_Campaign_November_2015PA,Y,[10/27/2015 TRahman] PAP Campaign November 2015 PA Promo 2015,,
1030,BYD 5 PA,BYD_5_PA,Y,[11/05/2015 TRahman] BYD 5 PA Promo 2015 : ($5 per month off add-ons or pay-per-use),,
1031,BYD 5 PB,BYD_5_PB,Y,[11/05/2015 TRahman] BYD 5 PB Promo 2015 : ($5 per month off add-ons or pay-per-use),,
1032,Loyalty_Extra_MyTab_50,Extra_MyTab_50,Y,,,
1033,Loyalty_Extra_MyTab_100,Extra_MyTab_100,Y,,,
1034,Loyalty_Extra_MyTab_150,Extra_MyTab_150,Y,,,
1035,2015 Black Friday $50,2015_Black_Friday_$50,Y,[11/19/2014 TRahman] RITM0024232 2015 Black Friday $50 Promo : ($100 Service Credit in monthly increments of $10 for 10 months.),,
1036,2015 Black Friday $100,2015_Black_Friday_$100,Y,[11/19/2014 TRahman] RITM0024232 2015 Black Friday $100 Promo : ($50 Service Credit in monthly increments of $5 for 10 months.),,
1037,Loyalty_Below_3_5,Loyalty_Below_3_5,Y,[11/25/2015 TRahman] Loyalty_Below_3_5 Promo 2015,,
1038,Loyalty_Below_6_5,Loyalty_Below_6_5,Y,[11/25/2015 TRahman] Loyalty_Below_6_5 Promo 2015,,
1039,Loyalty_Below_6_10,Loyalty_Below_6_10,Y,[11/25/2015 TRahman] Loyalty_Below_6_10 Promo 2015,,
1040,PAP Campaign December 2015 PA,PAP_Campaign_December_2015PA,Y,[10/27/2015 TRahman] RITM0024363: PAP Campaign December 2015 PA Promo 2015,,
1041,PAP Campaign December 2015 PB,PAP_Campaign_December_2015PB,Y,[10/27/2015 TRahman] RITM0024363: PAP Campaign December 2015 PB Promo 2015,,
1042,NTU $50 Extra MyTab,NTU_50_Extra_MyTab_Discount,Y,[12/01/2015 TRahman] RITM0024363: Additional $50 MyTab,,
1043,2015 One Month Free  35,2015_One_Month_Free_35,Y,[12/08/2015 TRahman] RITM0024908 2015 One Month Free  35 Promo : ($35 MRC discount on 2nd Month),,
1044,2015 One Month Free  40,2015_One_Month_Free_40,Y,[12/08/2015 TRahman] RITM0024908 2015 One Month Free  40 Promo : ($40 MRC discount on 2nd Month),,
1045,2015 One Month Free  45,2015_One_Month_Free_45,Y,[12/08/2015 TRahman] RITM0024908 2015 One Month Free  45 Promo : ($45 MRC discount on 2nd Month),,
1046,2015 One Month Free  50,2015_One_Month_Free_50,Y,[12/08/2015 TRahman] RITM0024908 2015 One Month Free  50 Promo : ($50 MRC discount on 2nd Month),,
1047,2015 One Month Free  55,2015_One_Month_Free_55,Y,[12/08/2015 TRahman] RITM0024908 2015 One Month Free  55 Promo : ($55 MRC discount on 2nd Month),,
1048,2015 One Month Free  39,2015_One_Month_Free_39,Y,[12/08/2015 TRahman] RITM0024908 2015 One Month Free  39 Promo : ($39 MRC discount on 2nd Month),,
1049,EHU $50 Early HW Upgrade,EHU_$50_Early_HW_Upgrade,Y,[12/14/2015 TRahman] RITM0025190: Additional $50 WINDtab,,
1050,Early Pay Off Promise Promo,Early_Pay_Off_Promise_Promo,Y,[12/14/2015 TRahman] RITM0025190 Early Pay Off Promise Promo December 2015: Old MyTab will be cleared.,,
1051,2015 Boxing Week $50,2015_Boxing_Week_$50,Y,[12/10/2015 TRahman] RITM0024975 2015 Boxing Week $50 Promo : ($100 Service Credit in monthly increments of $10 for 10 months.),,
